SOURCE,PATH,PURPOSE,CURRENT_CANONICAL_EQUIVALENT,UNIQUE_VALUE,RUNTIME_RELEVANCE,PROVENANCE_RELEVANCE,DECISION,EVIDENCE,SHA256
RETIRED,certificate_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,8962c45d5ff3e3807b6494e1d488eaac19a0b9b67837dc52dc41413dc52760c6
RETIRED,certificate_report_v2.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6ccceca9002b4fcc1654e5bca0a9a15d5da713956de6d744c701c43e65bf6351
RETIRED,certificate_report_v3.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,3278687c822c65ab094623228f4b6c2d3fb62c5f6288bcb3130d2fdd3d3536bb
RETIRED,certificate_report_v4.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6ccceca9002b4fcc1654e5bca0a9a15d5da713956de6d744c701c43e65bf6351
RETIRED,certs_confirm.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6ccceca9002b4fcc1654e5bca0a9a15d5da713956de6d744c701c43e65bf6351
RETIRED,CLAUDE.md,Documentation/configuration/reference,CLAUDE.md,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,dca8e517a083cbb3968d922465747c31f9df955a97c2c52cb2f91c0dc3db2a23
RETIRED,config.yaml,Documentation/configuration/reference,config.yaml,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,2b87c680561b87b856f47af297ffdd1cf2f86905f8cbdfbd705f41806474c9b7
RETIRED,consolidation_report_final.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,dfa20a79860b352151daf2bbcfa3681ae7e01bda71fc222d5907ad3c985c0fad
RETIRED,consolidation_report_full.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,0bf25c4a64ee45b27d323edfd817d97b3d8e12f78a71d252e5643a161b136cff
RETIRED,crm_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,11699f7ec9f703a5e685419d467a8b5e680d75e5f75c5b92033708f0cf219dbe
RETIRED,customer_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,2cebb5979f07a9ac8cbe46f201a48d3a2232aa227fe66da257501573f27fba82
RETIRED,deep_clean_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,4044dac52ad4f48dd2164aef6a47ee4dae37a2601d13acb70cd8486d00aedf1d
RETIRED,deep_clean_report_v2.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,c911aaa1b48402f31b4cfde42ebfd2e71142108bafc0acb5914cfd40ed7e0bc2
RETIRED,els_final.json,Structured state/data/report material,els_final.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,8cd94c0b163218968cad82f7c4c11ac307d2ecc7f805b2b00c76d27606b57765
RETIRED,els_final_confirm.json,Structured state/data/report material,els_final_v2.json|els_final_with_business.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,27b0b86105698a91c5398498f47060c27addfe42b7fd7e08fbfe0d53321eb071
RETIRED,els_final_v2.json,Structured state/data/report material,els_final_v2.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,27b0b86105698a91c5398498f47060c27addfe42b7fd7e08fbfe0d53321eb071
RETIRED,els_final_with_business.json,Structured state/data/report material,els_final_with_business.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,27b0b86105698a91c5398498f47060c27addfe42b7fd7e08fbfe0d53321eb071
RETIRED,els_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,396ff2ab253ef41c10dd1f0e1b0507157a1c153b37ee2537760c876636c7f56c
RETIRED,els_report_final.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,396ff2ab253ef41c10dd1f0e1b0507157a1c153b37ee2537760c876636c7f56c
RETIRED,els_report_final_v2.json,"Evidence, inventory, or historical decision context",els_final.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,8cd94c0b163218968cad82f7c4c11ac307d2ecc7f805b2b00c76d27606b57765
RETIRED,els_report_final_v4.json,"Evidence, inventory, or historical decision context",els_final.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,8cd94c0b163218968cad82f7c4c11ac307d2ecc7f805b2b00c76d27606b57765
RETIRED,els_report_final_v5.json,"Evidence, inventory, or historical decision context",els_final_v2.json|els_final_with_business.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,27b0b86105698a91c5398498f47060c27addfe42b7fd7e08fbfe0d53321eb071
RETIRED,els_report_new.json,"Evidence, inventory, or historical decision context",els_final_v2.json|els_final_with_business.json,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,27b0b86105698a91c5398498f47060c27addfe42b7fd7e08fbfe0d53321eb071
RETIRED,Engine_Discovery_Report.csv,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,81624d826d052961403cf969cb124e52bd49561e1f743fc671aac342cd56ccb1
RETIRED,enrich_context.py,"Evidence, inventory, or historical decision context",enrich_context.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,81421b4889170f0973d2b3080bd79e14edcb549195f01bc9dd5a4790510922a0
RETIRED,enrich_context_fixed.py,"Evidence, inventory, or historical decision context",enrich_context_fixed.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,70fdc17d04d2af86fe9d59312f56a5ce9a7b42a05d268099bf09fa62d00dfc51
RETIRED,extract_dna.py,Executable source or utility,extract_dna.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,f28918132c3ff121d15e803e6a2f72ac2a3c78c8ad948680c964815a36378929
RETIRED,FileSummary.csv,Structured state/data/report material,FileSummary.csv,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,d057875a88c73450d3c8729a3aad118ff27a271329ad046f127a1dc8653fc5bc
RETIRED,final_audit.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,357c8accb31f2ae6bcf22c1facaa04d1e2e0d6002cd07435642e3dee2dbef522
RETIRED,final_clean_audit.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6ea71fdad8db00aaff27c88670e5a663497b46d1add6d70af81ad207708cd7b6
RETIRED,final_enterprise_audit.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,8888cf4498fdb405b6dbd0bb09b785b3d8499e2276fcd5400dde6fe82748ef03
RETIRED,final_eos_freeze.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,e9597430a01f69dd2a923bb6a5e1e1df65eb5488565065bfac9c81cec2594541
RETIRED,final_integration.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,0d571910708f6eaacfd0189eab7dae29e432e9b88dd97c058808be30a29ee792
RETIRED,final_integration_audit.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,8a7d369517fb398501c2fc5a6d5705241f3f3ab2d2fcf0dfe6c8bf4fa985b67a
RETIRED,final_pass_audit.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,03f5879177c2feab2b920a5ed4d667bd944017100e2890fb4e111c040b2a00a8
RETIRED,finance_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,d3d5c01d072878fce7bbef5e30e528875ec90519185f91400ffa20aaee498412
RETIRED,fix_brain.py,Cognitive/brain capability,brain.py,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Three-way AST proof: donor-only functions/classes=0; canonical brain is active and larger.,aecc2f9788b1257faa081f3455ed1b7822cf64817f80246e0148d04a3fbc3547
RETIRED,GEMINI.md,Documentation/configuration/reference,GEMINI.md,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,7732170b454b4cd6ef1b360c59b026ba3268a954ed464c2ba495ecad5cee1358
RETIRED,ImageInventory.csv,Structured state/data/report material,ImageInventory.csv,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
RETIRED,inventory_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,e9da23451fb8892fb1f3eacc091ee91aef22b72f6b7de98b6c2239fd30a0b028
RETIRED,labels_report.json,"Evidence, inventory, or historical decision context",lib/intelligence/gels-label-readiness.ts,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,27125ad8b54021aa2cba75f6791e88011e79b74d8e097517591462b51a9dea48
RETIRED,logistics_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,d36f736a337e3cc9ce6c675553e6f35bdd292e67fc32fbb1aad18ee20de3001b
RETIRED,package.json,Structured state/data/report material,package.json,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,b4cf32e16039134ac29f7329a4c4857aeabd2a792c6de2512abb09afe08f649d
RETIRED,packaging_audit_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,ccc93826e8b072673fd8bf0316acbfd43ca7a74cba217f95b55afc70b1774712
RETIRED,packaging_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,cd9d3d8b367a550b5ebea29ee0164e2ae9be2c341a9670d0a19049cf254ef0a9
RETIRED,run_all.ps1,Historical installation/migration procedure,run_all.ps1,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,16d1d6b69de2bd10d03c9f70f5d27fec38dc4ce556b08984d63cd92f0af353e9
RETIRED,run_ast_analysis.py,"Evidence, inventory, or historical decision context",run_ast_analysis.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,6013e8d836b685f7f6da2d533d6f8647c5361a3d835f90a669e9bb90e7620819
RETIRED,run_audit_hack.py,"Evidence, inventory, or historical decision context",run_audit_hack.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,0cdcb2da67f8e89cb284c7faa85baea093887ae80cc2ae80c33af59637bd3ca8
RETIRED,run_audit_v2.py,"Evidence, inventory, or historical decision context",run_audit_v2.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,7ae2bb332c5bb50f37281ab8395fc933319a9c8efa4ed41f2f335b3c73a6c050
RETIRED,run_brain.ps1,Cognitive/brain capability,run_brain.ps1,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,c55f181668532c2d2f590043115289c08dc8ff4ddc367549722a083d19cc6ff8
RETIRED,run_brain_cli.py,Cognitive/brain capability,brain.py,NONE,NONE,NORMAL,REJECTED,One-off/duplicate CLI or repair wrapper; capabilities reside in safety-hardened canonical brain.py.,f01a374e9c81e3db89b3a42940c4d6a5447684986a1296e42bf13f196eed6295
RETIRED,run_brain_cli_backup.py,Cognitive/brain capability,brain.py,NONE,NONE,NORMAL,REJECTED,One-off/duplicate CLI or repair wrapper; capabilities reside in safety-hardened canonical brain.py.,21596781923d83c293f48d4990f6e985b8ad368896fd2140d8b9fd7539be84bc
RETIRED,run_full_audit.ps1,Historical installation/migration procedure,run_full_audit.ps1,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,2db2aecfd6456eb328a51c0b5168fbf4d10272e5ddcf8507bde22f75d728f3ea
RETIRED,standalone_ast_analysis.py,"Evidence, inventory, or historical decision context",standalone_ast_analysis.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,058da08713da86330d654dfdcfcd5f50909abe0ef6a816d48d259e5eb467c39a
RETIRED,suppliers_confirm.json,Structured state/data/report material,domain/supplier + lib/supplier-master-policy.ts,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,e7390189baf6db607c92aa318dc6b7913b102cb95028e6c99062f326e43f29b8
RETIRED,supplier_report.json,"Evidence, inventory, or historical decision context",domain/supplier + lib/supplier-master-policy.ts,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,acf02acc25da6508ca5ffac19a795c665be747c220b3fc1f89162ac1e198cae0
RETIRED,supplier_report_v2.json,"Evidence, inventory, or historical decision context",domain/supplier + lib/supplier-master-policy.ts,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,7bd3dfeacbfed7b29639a07c3613dee29c9d23f7fb10d90acf8ffe6874e4b14e
RETIRED,supplier_report_v3.json,"Evidence, inventory, or historical decision context",domain/supplier + lib/supplier-master-policy.ts,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,7bd3dfeacbfed7b29639a07c3613dee29c9d23f7fb10d90acf8ffe6874e4b14e
RETIRED,supplier_report_v4.json,"Evidence, inventory, or historical decision context",domain/supplier + lib/supplier-master-policy.ts,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,e7390189baf6db607c92aa318dc6b7913b102cb95028e6c99062f326e43f29b8
RETIRED,system_manifest.json,"Evidence, inventory, or historical decision context",system_manifest.json,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,1ee99235bab41701c53bc85729a0864a01500a1899f26732aa6d6e5125db3e13
RETIRED,test_brain.py,Cognitive/brain capability,test_brain.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,8c566cf6efe5974cf4deefef9adacc3267371923ae848633f903b760e16153b4
RETIRED,test_brain_v2.py,Cognitive/brain capability,test_brain_v2.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,cb51bf8c83853fe3c10f626c2af89da9806193d9392a9b6d88e9c142209b82bf
RETIRED,test_brain_v3.py,Cognitive/brain capability,test_brain_v3.py,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,913d515d9784d395d395cb679ca99c825d1c457c2bb1a49fefb85363f87b9d68
RETIRED,tsconfig.json,Structured state/data/report material,tsconfig.json,NONE,ACTIVE_EQUIVALENT,NORMAL,MERGED,Same-role canonical path exists; code symbols/critical brain and Intelligence surfaces independently checked where executable.,6c49ad766d1200f4770c4a21db375a42d5c62375825c1d6249061212681bfa40
RETIRED,tsconfig.runtime.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,5b6d83408d1d6b5ad17498ff85d0299245262e7611bdd1e7468bd67be6a01f77
RETIRED,validation_report.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,aed8245f648c8954db735404d27de3c5569a9add655ce10cf1ad89f148d7c719
RETIRED,validation_report_v2.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6833763e88b38717e638b40fed12be2182ed5b1c80b7f49ea05dbaea8669bbbe
RETIRED,validation_report_v3.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,ec1ee38b2e498f70066f3921dcaf4749b7d0851256a4aff9e62853d9fa327ef2
RETIRED,validation_report_v4.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,b8ad1defe07a0a01be5c7780e1be3654edcff2ce6eb6445a347911d006b637aa
RETIRED,.github\workflows\govern.yml,Documentation/configuration/reference,.github\workflows\govern.yml,NONE,NONE,NORMAL,PROVEN_DUPLICATE,Exact SHA-256 duplicate already retained in canonical/estate.,f576ad4f6538459a76832031e673aefb53f28ce16645d9ef8329df6f2687f628
RETIRED,.vscode\settings.json,Structured state/data/report material,"Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,cf68334183a28097d97b2c47c3cfd36d2ffe32b01a243075aaba875c6211cd90
RETIRED,AI-CONTINUATION-CONTEXT\AGENT-CORE.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,88dc84cae68081c059acce9bb4b3c20ea690b70dc94a408919630579c17115e0
RETIRED,AI-CONTINUATION-CONTEXT\CURRENT-STATE.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,bdd8fe6edf0b691d145d3eaface78b0a5a5651c65e6c23dc09840b1c5fd1204d
RETIRED,AI-CONTINUATION-CONTEXT\DECISIONS.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,e0454f7559fef6098955a322d73140359129d582f5b160bbec3ce17b7f5dce7e
RETIRED,AI-CONTINUATION-CONTEXT\HANDOFF.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,3703e4f4cb08b90bd96a20c171ebbdcbd64c659d2dc1022d90c59fc656ebaba4
RETIRED,AI-CONTINUATION-CONTEXT\README.md,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,a11d561594f12ffe6f635edca71bad53946616a95ef42f8a249976472998a122
RETIRED,AI-CONTINUATION-CONTEXT\runtime\PROJECT-SUMMARY.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,b1551d653c4a204351820d5395651461ad2c94299b22f8ff85284f11f488c84f
RETIRED,AI-CONTINUATION-CONTEXT\runtime\RUNTIME-FILES.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,9f7af5c84032bf1b0fb73cf82cab16bb6ffc4377afd165709269138e2e29e55a
RETIRED,AI-CONTINUATION-CONTEXT\runtime\WORKFLOW-RESOLUTION.json,"Evidence, inventory, or historical decision context",canonical/lib/workflowEngine.ts + lib/intelligence/workflow-governance.ts,Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,b02f06eeabf6f3d9c626c0c853a90db61e96353cb782c607d000aa6b40d77fb2
RETIRED,AI-CONTINUATION-CONTEXT\runtime\bridge\STATUS.json,"Evidence, inventory, or historical decision context","Current canonical source, tests, and evidence estate",Historical data/provenance only,NONE,HIGH,REFERENCE_ONLY,Non-runtime report/state material retained as evidence; generated/snapshot content is not promoted as canonical authority.,6f188d15c82426b37fc14d0f4c4d9e4b4ee36669486496b5fb288190c66a5ad5
