"assetId","legacyPath","dataBusinessRole","comparison","trackedCurrentCandidates","legacySha256","reason","evidenceLevel","semanticEquivalence","runtimeEquivalence","ownerSor","treatment"
"LEGACY-PRIMARY:brain.py","brain.py","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:build_evidence_layer.py","build_evidence_layer.py","EVIDENCE_OR_COMPLIANCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","A0F744C2F52F2117589C19DE129F1806F18E53E5D51C10AE0E360224C5B71BE8","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:business_assets_report.json","business_assets_report.json","DATA_CONFIG_REFERENCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","0D65B5EBB914BBB18AEFE459C4875C224C7AD0D736402A02D11BBF9F74B111B5","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:certificate_report.json","certificate_report.json","EVIDENCE_OR_COMPLIANCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","8962C45D5FF3E3807B6494E1D488EAAC19A0B9B67837DC52DC41413DC52760C6","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:certificate_report_v2.json","certificate_report_v2.json","EVIDENCE_OR_COMPLIANCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","6CCCECA9002B4FCC1654E5BCA0A9A15D5DA713956DE6D744C701C43E65BF6351","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:certificate_report_v3.json","certificate_report_v3.json","EVIDENCE_OR_COMPLIANCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","3278687C822C65AB094623228F4B6C2D3FB62C5F6288BCB3130D2FDD3D3536BB","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:certificate_report_v4.json","certificate_report_v4.json","EVIDENCE_OR_COMPLIANCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","6CCCECA9002B4FCC1654E5BCA0A9A15D5DA713956DE6D744C701C43E65BF6351","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:certs_confirm.json","certs_confirm.json","EVIDENCE_OR_COMPLIANCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","6CCCECA9002B4FCC1654E5BCA0A9A15D5DA713956DE6D744C701C43E65BF6351","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:config.yaml","config.yaml","DATA_CONFIG_REFERENCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","1D9BAAF597B9D39AAC98FADCCD443D3D4B818FAC4C6E4958D8736093C62145B8","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:consolidation_report_final.json","consolidation_report_final.json","DATA_CONFIG_REFERENCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","DFA20A79860B352151DAF2BBCFA3681AE7E01BDA71FC222D5907AD3C985C0FAD","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:consolidation_report_full.json","consolidation_report_full.json","DATA_CONFIG_REFERENCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","0BF25C4A64EE45B27D323EDFD817D97B3D8E12F78A71D252E5643A161B136CFF","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:crm_report.json","crm_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","11699F7EC9F703A5E685419D467A8B5E680D75E5F75C5B92033708F0CF219DBE","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:customer_report.json","customer_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","2CEBB5979F07A9AC8CBE46F201A48D3A2232AA227FE66DA257501573F27FBA82","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:deep_clean_report.json","deep_clean_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","4044DAC52AD4F48DD2164AEF6A47EE4DAE37A2601D13ACB70CD8486D00AEDF1D","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:deep_clean_report_v2.json","deep_clean_report_v2.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","C911AAA1B48402F31B4CFDE42EBFD2E71142108BAFC0ACB5914CFD40ED7E0BC2","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:E3-GIT-HEAD.txt","E3-GIT-HEAD.txt","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:E3-GIT-STATUS.txt","E3-GIT-STATUS.txt","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:E3-GIT-TRACKED.txt","E3-GIT-TRACKED.txt","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:E3-REPOSITORY-MANIFEST.json","E3-REPOSITORY-MANIFEST.json","EVIDENCE_OR_COMPLIANCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","DCFC008D471A009ECCD09903D253F7566AF7620044CD7D9F08265AE86587C315","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:E3-SOURCE-TRACE-PACKAGE.zip","E3-SOURCE-TRACE-PACKAGE.zip","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_final.json","els_final.json","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","8CD94C0B163218968CAD82F7C4C11AC307D2ECC7F805B2B00C76D27606B57765","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_final_confirm.json","els_final_confirm.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","27B0B86105698A91C5398498F47060C27ADDFE42B7FD7E08FBFE0D53321EB071","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_final_v2.json","els_final_v2.json","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","27B0B86105698A91C5398498F47060C27ADDFE42B7FD7E08FBFE0D53321EB071","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_final_with_business.json","els_final_with_business.json","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","27B0B86105698A91C5398498F47060C27ADDFE42B7FD7E08FBFE0D53321EB071","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_report.json","els_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","396FF2AB253EF41C10DD1F0E1B0507157A1C153B37EE2537760C876636C7F56C","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_report_final.json","els_report_final.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","396FF2AB253EF41C10DD1F0E1B0507157A1C153B37EE2537760C876636C7F56C","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_report_final_v2.json","els_report_final_v2.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","8CD94C0B163218968CAD82F7C4C11AC307D2ECC7F805B2B00C76D27606B57765","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_report_final_v4.json","els_report_final_v4.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","8CD94C0B163218968CAD82F7C4C11AC307D2ECC7F805B2B00C76D27606B57765","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_report_final_v5.json","els_report_final_v5.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","27B0B86105698A91C5398498F47060C27ADDFE42B7FD7E08FBFE0D53321EB071","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:els_report_new.json","els_report_new.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","27B0B86105698A91C5398498F47060C27ADDFE42B7FD7E08FBFE0D53321EB071","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:Engine_Discovery_Report.csv","Engine_Discovery_Report.csv","DATA_CONFIG_REFERENCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","81624D826D052961403CF969CB124E52BD49561E1F743FC671AAC342CD56CCB1","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:enrich_context.py","enrich_context.py","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","81421B4889170F0973D2B3080BD79E14EDCB549195F01BC9DD5A4790510922A0","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:enrich_context_fixed.py","enrich_context_fixed.py","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","70FDC17D04D2AF86FE9D59312F56A5CE9A7B42A05D268099BF09FA62D00DFC51","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:extract_dna.py","extract_dna.py","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","F28918132C3FF121D15E803E6A2F72AC2A3C78C8AD948680C964815A36378929","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:FileSummary.csv","FileSummary.csv","SCHEMA_OR_PERSISTENCE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","D057875A88C73450D3C8729A3AAD118FF27A271329AD046F127A1DC8653FC5BC","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:final_audit.json","final_audit.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","357C8ACCB31F2AE6BCF22C1FACAA04D1E2E0D6002CD07435642E3DEE2DBEF522","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:final_clean_audit.json","final_clean_audit.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","FEB9EC7F2279F08E4F5C0584EC64E945FDB62960C69624B46ABFE68415DB1F6C","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:final_enterprise_audit.json","final_enterprise_audit.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","8888CF4498FDB405B6DBD0BB09B785B3D8499E2276FCD5400DDE6FE82748EF03","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:final_eos_freeze.json","final_eos_freeze.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","E9597430A01F69DD2A923BB6A5E1E1DF65EB5488565065BFAC9C81CEC2594541","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:final_integration.json","final_integration.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","0D571910708F6EAACFD0189EAB7DAE29E432E9B88DD97C058808BE30A29EE792","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:final_integration_audit.json","final_integration_audit.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","8A7D369517FB398501C2FC5A6D5705241F3F3AB2D2FCF0DFE6C8BF4FA985B67A","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:final_pass_audit.json","final_pass_audit.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","03F5879177C2FEAB2B920A5ED4D667BD944017100E2890FB4E111C040B2A00A8","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:finance_report.json","finance_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","D3D5C01D072878FCE7BBEF5E30E528875EC90519185F91400FFA20AAEE498412","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:fix_brain.py","fix_brain.py","DECISION_OR_KNOWLEDGE_CANDIDATE","UNTRACKED_OR_COLOCATED_EXACT_COPY_NOT_CURRENT_EQUIVALENT","","AECC2F9788B1257FAA081F3455ED1B7822CF64817F80246E0148D04A3FBC3547","An identical/co-located worktree copy may exist, but no Git-tracked Current equivalent was proven.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:GreenyLifeEOS_Review.zip","GreenyLifeEOS_Review.zip","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:how HEAD.env  Select-Object -First 20","how HEAD.env  Select-Object -First 20","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:ImageInventory.csv","ImageInventory.csv","BUSINESS_OPERATION_CANDIDATE","TRACKED_CURRENT_EXACT_CONTENT_CANDIDATE_NOT_SOR_PROOF","app\js\script.js;app\views\products.html;tests\performance\__init__.py","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","Exact hash exists in a Git-tracked Current file. This is lineage evidence only, not semantic/running/SOR proof.","TRACKED_EXACT_HASH_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:inventory_report.json","inventory_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","E9DA23451FB8892FB1F3EACC091EE91AEF22B72F6B7DE98B6C2239FD30A0B028","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:labels_report.json","labels_report.json","DATA_CONFIG_REFERENCE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","27125AD8B54021AA2CBA75F6791E88011E79B74D8E097517591462B51A9DEA48","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:logistics_report.json","logistics_report.json","DECISION_OR_KNOWLEDGE_CANDIDATE","NO_TRACKED_CURRENT_EQUIVALENT_PROVEN","","D36F736A337E3CC9CE6C675553E6F35BDD292E67FC32FBB1AAD18EE20DE3001B","No exact-hash Git-tracked Current file was found.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:NUCLEUS_FILES.txt","NUCLEUS_FILES.txt","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
"LEGACY-PRIMARY:package.json","package.json","NO_DATA_BUSINESS_ROLE_PROVEN","NOT_ELIGIBLE_GROUPED_OR_NON_BUSINESS","","","Not eligible for business/data comparison.","TRACKED_BASELINE_COMPARISON_EVIDENCE","NOT_PROVEN","NOT_PROVEN","NOT_STARTED","UNKNOWN"
