"root","relativePath","extension","bytes","classification","safeTextSignals","owner","sor","treatment","reason"
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-CONTROLLED-SUPPLIER-MASTER.ps1",".ps1","11443","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-data-intelligence-fabric.ps1",".ps1","11548","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-DD-001-EVIDENCE-PROVENANCE-FAIL-CLOSED.ps1",".ps1","7706","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-DD-002-DECISION-CONFIDENCE-POLICY.ps1",".ps1","9919","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-DD-003-DURABLE-WORKFLOW-APPROVAL.ps1",".ps1","23389","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-DD-004-EXTRACT-PERSISTED-EVIDENCE-MAPPER.ps1",".ps1","9393","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-DD-005-CONTROLLED-LEARNING-ACCESS-AND-CONTRACT.ps1",".ps1","8281","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\APPLY-DD-006-AUTHORIZATION-AUDIT-FAIL-CLOSED.ps1",".ps1","7103","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-evaluation-governance.ps1",".ps1","11256","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-gels-label-readiness.ps1",".ps1","10105","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-mastermind-evidence-authority.ps1",".ps1","8679","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-official-evidence-gate.ps1",".ps1","5856","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-official-evidence-registry.ps1",".ps1","6042","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-official-evidence-review-api.ps1",".ps1","2466","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-persisted-evidence-decision.ps1",".ps1","5217","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-production-auth.ps1",".ps1","9822","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-production-readiness-gate.ps1",".ps1","7682","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-task-orchestration-core.ps1",".ps1","13137","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-training-factory.ps1",".ps1","9853","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\apply-wave-3-2-adversarial-safety.ps1",".ps1","7273","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\check-authenticated-evidence-decision.ps1",".ps1","2770","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\check-evidence-api-runtime.ps1",".ps1","2022","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\COMMIT-E3-REPAIR-CLOSURES-001-006.ps1",".ps1","2830","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\COMPLETE-DD-001-ADVERSARIAL-FIXTURE-AND-VERIFY.ps1",".ps1","2099","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\COMPLETE-DD-002-TYPESCRIPT-GUARD-AND-VERIFY.ps1",".ps1","2550","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\COMPLETE-DD-003-PRISMA-GENERATE-AND-VERIFY.ps1",".ps1","3464","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\COMPLETE-DD-005-SIGNED-ACTOR-FIX-AND-VERIFY.ps1",".ps1","2526","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\controlled-learning.patch",".patch","10137","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-ASSET-DECISION-PROOF.ps1",".ps1","7865","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-ASSET-RETIREMENT-ANALYSIS.ps1",".ps1","9078","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-BRAIN-SAFETY-INVARIANT.md",".md","1033","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-BUSINESS-ASSET-RECOVERY-LINEAGE-CORRECTION.ps1",".ps1","7074","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-BUSINESS-ASSET-RECOVERY-PROOF.ps1",".ps1","8006","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-BUSINESS-DOMAIN-FAMILY-DECISION.ps1",".ps1","4756","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CANONICAL-COMMAND-OWNERSHIP-PROOF.ps1",".ps1","11163","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CAPABILITY-REGISTRY-DISCOVERY.ps1",".ps1","9276","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CAPABILITY-REGISTRY-READOUT-2026-08-13.md",".md","4865","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE;WORKFLOW_GOVERNANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CONSOLIDATION-ARCHIVE-PROOF.ps1",".ps1","6669","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CONSOLIDATION-PROOF-READOUT-2026-08-13.md",".md","3293","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DATA_ARCHITECTURE;DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE;WORKFLOW_GOVERNANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CORRECT-EMPTY-LEGACY-CLI-CANDIDATE.ps1",".ps1","3554","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CREATE-CLOSURE-REPORT.ps1",".ps1","9967","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CREATE-CONTROLLED-COMMERCIAL-INTAKE-PACK.ps1",".ps1","6078","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-CURRENT-CAPABILITY-PRIORITY-DECISION.ps1",".ps1","8192","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DD-003-GOVERNANCE-EXISTING-TRACE.ps1",".ps1","5743","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DD-004-KNOWLEDGE-EXISTING-TRACE.ps1",".ps1","7584","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DECISION-SAFETY-CONTRACT-v1.json",".json","2270","HISTORICAL_SAFE_TEXT_CLASSIFIED","DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DECISION-SAFETY-CONTRACT-v1.md",".md","4200","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DATA_ARCHITECTURE;DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE;WORKFLOW_GOVERNANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DEEP-COMMAND-AND-ARCHIVE-PROOF.ps1",".ps1","11128","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DEEP-TRACE-GATE-CLOSURE.ps1",".ps1","5900","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DEEP-VERIFICATION-SYNTHESIS.ps1",".ps1","9554","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-DEVELOPMENT-DIAGNOSIS-BACKLOG.ps1",".ps1","10696","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-ENGINE-DECISION-LEDGER.md",".md","5356","HISTORICAL_SAFE_TEXT_CLASSIFIED","BUSINESS_DOMAIN;DECISION_INTELLIGENCE;EVIDENCE_COMPLIANCE;WORKFLOW_GOVERNANCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-ENGINE-TOOL-CONSOLIDATION-PROOF-v2.ps1",".ps1","1827","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-ENGINE-TOOL-CONSOLIDATION-PROOF-v3.ps1",".ps1","1728","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-ENGINE-TOOL-CONSOLIDATION-PROOF.ps1",".ps1","8948","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-ENGINE-TOOL-IDENTITY-CARDS.ps1",".ps1","9784","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-EXCLUDED-ASSET-PRESERVATION-INVENTORY.ps1",".ps1","5424","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-FINAL-VERIFICATION.ps1",".ps1","6638","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-FULL-LEGACY-CLASSIFICATION-LINEAGE.ps1",".ps1","96894","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-FULL-LEGACY-PROJECT-INVENTORY.ps1",".ps1","12536","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-FUNCTIONAL-FAMILY-AND-STATIC-TRACE.ps1",".ps1","11381","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-ALGORITHM-CONSOLIDATION-DECISION.ps1",".ps1","5596","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-ANALYSIS-ALGORITHM-EXTRACTION-PROOF.ps1",".ps1","7259","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-ASSET-PROOF-WAVE-1.ps1",".ps1","7351","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-BRAIN-KERNEL-ISOLATED-PROOF.ps1",".ps1","5659","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-BRAIN-RECOVERY-DECISION.ps1",".ps1","5107","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-BRAIN-WAVE-2.ps1",".ps1","7391","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-BUSINESS-VALUE-DECISION.ps1",".ps1","6192","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-ENGINE-DEEP-TRACE.ps1",".ps1","7366","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-FULL-MANIFEST-ANALYSIS.ps1",".ps1","8587","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
"C:\Users\Ghanam\Documents\Codex\2026-08-11","referenced-chatgpt-conversation-this-is-an\outputs\E3-LEGACY-ONLY-DEEP-VERIFICATION.ps1",".ps1","6575","HISTORICAL_FILE_METADATA","","OWNER_UNPROVEN","NOT_SOR_PROVEN","REVIEW","Historical workspace asset is not automatically included in Legacy treatment decisions."
